sentence,negative,neutral,positive,predicted_label
CHAPTER I,0.19614417850971222,0.6063152551651001,0.19754056632518768,Neutral
"In 1913, when Anthony Patch was twentyfive, two years were already gone since irony, the Holy Ghost of this later day, had, theoretically at least, descended upon him.",0.09271908551454544,0.8180599212646484,0.08922098577022552,Neutral
"Irony was the final polish of the shoe, the ultimate dab of the clothesbrush, a sort of intellectual ""There!",0.17873184382915497,0.7028095722198486,0.118458591401577,Neutral
"""yet at the brink of this story he has as yet gone no further than the conscious stage.",0.27998483180999756,0.6828585863113403,0.03715662658214569,Neutral
"As you first see him he wonders frequently whether he is not without honor and slightly mad, a shameful and obscene thinness glistening on the surface of the world like oil on a clean pond, these occasions being varied, of course, with those in which he thinks himself rather an exceptional young man, thoroughly sophisticated, well adjusted to his environment, and somewhat more significant than any one else he knows.",0.22013603150844574,0.5326460599899292,0.24721789360046387,Neutral
"This was his healthy state and it made him cheerful, pleasant, and very attractive to intelligent men and to all women.",0.0012370781041681767,0.019663875922560692,0.9790990352630615,Positive
"In this state he considered that he would one day accomplish some quiet subtle thing that the elect would deem worthy and, passing on, would join the dimmer stars in a nebulous, indeterminate heaven halfway between death and immortality.",0.025526894256472588,0.6886475086212158,0.2858256697654724,Neutral
"Until the time came for this effort he would be Anthony Patchnot a portrait of a man but a distinct and dynamic personality, opinionated, contemptuous, functioning from within outwarda man who was aware that there could be no honor and yet had honor, who knew the sophistry of courage and yet was brave.",0.14467878639698029,0.7140610814094543,0.14126016199588776,Neutral
A WORTHY MAN AND HIS GIFTED SON Anthony drew as much consciousness of social security from being the grandson of Adam J. Patch as he would have had from tracing his line over the sea to the crusaders.,0.04561583325266838,0.6361004114151001,0.3182837665081024,Neutral
"This is inevitable Virginians and Bostonians to the contrary notwithstanding, an aristocracy founded sheerly on money postulates wealth in the particular.",0.23185615241527557,0.7200523018836975,0.04809151962399483,Neutral
"Now Adam J. Patch, more familiarly known as ""Cross Patch,"" left his father's farm in Tarrytown early in sixtyone to join a New York cavalry regiment.",0.03159823268651962,0.9339578747749329,0.03444398567080498,Neutral
"He came home from the war a major, charged into Wall Street, and amid much fuss, fume, applause, and ill will he gathered to himself some seventyfive million dollars.",0.14718614518642426,0.6398075222969055,0.21300628781318665,Neutral
This occupied his energies until he was fiftyseven years old.,0.03341720253229141,0.848237156867981,0.11834567040205002,Neutral
"It was then that he determined, after a severe attack of sclerosis, to consecrate the remainder of his life to the moral regeneration of the world.",0.048495206981897354,0.8372119665145874,0.11429278552532196,Neutral
He became a reformer among reformers.,0.011632711626589298,0.692577064037323,0.2957902252674103,Neutral
"Emulating the magnificent efforts of Anthony Comstock, after whom his grandson was named, he levelled a varied assortment of uppercuts and bodyblows at liquor, literature, vice, art, patent medicines, and Sunday theatres.",0.01150346826761961,0.36178669333457947,0.6267098784446716,Positive
"His mind, under the influence of that insidious mildew which eventually forms on all but the few, gave itself up furiously to every indignation of the age.",0.6289685964584351,0.3538859784603119,0.017145399004220963,Negative
"From an armchair in the office of his Tarrytown estate he directed against the enormous hypothetical enemy, unrighteousness, a campaign which went on through fifteen years, during which he displayed himself a rabid monomaniac, an unqualified nuisance, and an intolerable bore.",0.8461349606513977,0.14251509308815002,0.01135000679641962,Negative
"The year in which this story opens found him wearying his campaign had grown desultory 1861 was creeping up slowly on 1895 his thoughts ran a great deal on the Civil War, somewhat on his dead wife and son, almost infinitesimally on his grandson Anthony.",0.36952704191207886,0.576133668422699,0.0543392188847065,Neutral
"Early in his career Adam Patch had married an anemic lady of thirty, Alicia Withers, who brought him one hundred thousand dollars and an impeccable entr into the banking circles of New York.",0.017300354316830635,0.7670465111732483,0.21565307676792145,Neutral
"Immediately and rather spunkily she had borne him a son and, as if completely devitalized by the magnificence of this performance, she had thenceforth effaced herself within the shadowy dimensions of the nursery.",0.05268091708421707,0.7830472588539124,0.1642717868089676,Neutral
"The boy, Adam Ulysses Patch, became an inveterate joiner of clubs, connoisseur of good form, and driver of tandemsat the astonishing age of twentysix he began his memoirs under the title ""New York Society as I Have Seen It.""",0.009266366250813007,0.4691289961338043,0.521604597568512,Positive
"On the rumor of its conception this work was eagerly bid for among publishers, but as it proved after his death to be immoderately verbose and overpoweringly dull, it never obtained even a private printing.",0.6262693405151367,0.3413383364677429,0.03239230811595917,Negative
This Fifth Avenue Chesterfield married at twentytwo.,0.036408212035894394,0.9278964400291443,0.03569534793496132,Neutral
