sentence,negative,neutral,positive,predicted_label
CHAPTER I,0.19614417850971222,0.6063152551651001,0.19754056632518768,Neutral
"Amory Blaine inherited from his mother every trait, except the stray inexpressible few, that made him worth while.",0.021419333294034004,0.5177903175354004,0.4607902765274048,Neutral
"His father, an ineffectual, inarticulate man with a taste for Byron and a habit of drowsing over the Encyclopedia Britannica, grew wealthy at thirty through the death of two elder brothers, successful Chicago brokers, and in the first flush of feeling that the world was his, went to Bar Harbor and met Beatrice O'Hara.",0.06721984595060349,0.6557587385177612,0.2770214080810547,Neutral
"In consequence, Stephen Blaine handed down to posterity his height of just under six feet and his tendency to waver at crucial moments, these two abstractions appearing in his son Amory.",0.03817364573478699,0.9022946357727051,0.059531714767217636,Neutral
"For many years he hovered in the background of his family's life, an unassertive figure with a face halfobliterated by lifeless, silky hair, continually occupied in ""taking care"" of his wife, continually harassed by the idea that he didn't and couldn't understand her.",0.6111610531806946,0.36452582478523254,0.024313075467944145,Negative
But Beatrice Blaine!,0.049893926829099655,0.7534052729606628,0.1967007964849472,Neutral
There was a woman!,0.057268593460321426,0.6652908325195312,0.27744054794311523,Neutral
"Early pictures taken on her father's estate at Lake Geneva, Wisconsin, or in Rome at the Sacred Heart Conventan educational extravagance that in her youth was only for the daughters of the exceptionally wealthyshowed the exquisite delicacy of her features, the consummate art and simplicity of her clothes.",0.00936577096581459,0.5225242972373962,0.46810993552207947,Neutral
"A brilliant education she hadher youth passed in renaissance glory, she was versed in the latest gossip of the Older Roman Families known by name as a fabulously wealthy American girl to Cardinal Vitori and Queen Margherita and more subtle celebrities that one must have had some culture even to have heard of.",0.00857853889465332,0.22615821659564972,0.7652632594108582,Positive
"She learned in England to prefer whiskey and soda to wine, and her small talk was broadened in two senses during a winter in Vienna.",0.025025514885783195,0.7745682001113892,0.20040631294250488,Neutral
"All in all Beatrice O'Hara absorbed the sort of education that will be quite impossible ever again a tutelage measured by the number of things and people one could be contemptuous of and charming about a culture rich in all arts and traditions, barren of all ideas, in the last of those days when the great gardener clipped the inferior roses to produce one perfect bud.",0.353180855512619,0.5205053091049194,0.12631390988826752,Neutral
