sentence,neg,neu,pos,compound
CHAPTER I,0.0,1.0,0.0,0.0
"Amory Blaine inherited from his mother every trait, except the stray inexpressible few, that made him worth while.",0.0,0.899,0.101,0.2263
"His father, an ineffectual, inarticulate man with a taste for Byron and a habit of drowsing over the Encyclopedia Britannica, grew wealthy at thirty through the death of two elder brothers, successful Chicago brokers, and in the first flush of feeling that the world was his, went to Bar Harbor and met Beatrice O'Hara.",0.1,0.772,0.128,0.1779
"In consequence, Stephen Blaine handed down to posterity his height of just under six feet and his tendency to waver at crucial moments, these two abstractions appearing in his son Amory.",0.0,1.0,0.0,0.0
"For many years he hovered in the background of his family's life, an unassertive figure with a face halfobliterated by lifeless, silky hair, continually occupied in ""taking care"" of his wife, continually harassed by the idea that he didn't and couldn't understand her.",0.075,0.857,0.069,-0.0772
But Beatrice Blaine!,0.0,1.0,0.0,0.0
There was a woman!,0.0,1.0,0.0,0.0
"Early pictures taken on her father's estate at Lake Geneva, Wisconsin, or in Rome at the Sacred Heart Conventan educational extravagance that in her youth was only for the daughters of the exceptionally wealthyshowed the exquisite delicacy of her features, the consummate art and simplicity of her clothes.",0.0,1.0,0.0,0.0
"A brilliant education she hadher youth passed in renaissance glory, she was versed in the latest gossip of the Older Roman Families known by name as a fabulously wealthy American girl to Cardinal Vitori and Queen Margherita and more subtle celebrities that one must have had some culture even to have heard of.",0.029,0.799,0.172,0.8553
"She learned in England to prefer whiskey and soda to wine, and her small talk was broadened in two senses during a winter in Vienna.",0.0,1.0,0.0,0.0
"All in all Beatrice O'Hara absorbed the sort of education that will be quite impossible ever again a tutelage measured by the number of things and people one could be contemptuous of and charming about a culture rich in all arts and traditions, barren of all ideas, in the last of those days when the great gardener clipped the inferior roses to produce one perfect bud.",0.074,0.718,0.208,0.891
"In her less important moments she returned to America, met Stephen Blaine and married himthis almost entirely because she was a little bit weary, a little bit sad.",0.159,0.789,0.052,-0.483
Her only child was carried through a tiresome season and brought into the world on a spring day in ninetysix.,0.0,1.0,0.0,0.0
When Amory was five he was already a delightful companion for her.,0.0,0.725,0.275,0.5859
"He was an auburnhaired boy, with great, handsome eyes which he would grow up to in time, a facile imaginative mind and a taste for fancy dress.",0.0,0.759,0.241,0.8074
"From his fourth to his tenth year he did the country with his mother in her father's private car, from Coronado, where his mother became so bored that she had a nervous breakdown in a fashionable hotel, down to Mexico City, where she took a mild, almost epidemic consumption.",0.099,0.901,0.0,-0.5915
"This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphereespecially after several astounding bracers.",0.099,0.693,0.208,0.4588
"So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from ""Do and Dare,"" or ""Frank on the Mississippi,"" Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother.",0.0,0.867,0.133,0.8133
"""Amory.""",0.0,1.0,0.0,0.0
"""Yes, Beatrice.""",0.0,1.0,0.0,0.0
Such a quaint name for his mother she encouraged it.,0.0,0.762,0.238,0.3612
"""Dear, don't think of getting out of bed yet.",0.0,1.0,0.0,0.0
I've always suspected that early rising in early life makes one nervous.,0.286,0.714,0.0,-0.4588
"Clothilde is having your breakfast brought up.""",0.0,1.0,0.0,0.0
"""All right.""",0.0,1.0,0.0,0.0
"""I am feeling very old today, Amory,"" she would sigh, her face a rare cameo of pathos, her voice exquisitely modulated, her hands as facile as Bernhardt's.",0.0,0.902,0.098,0.1531
"""My nerves are on edgeon edge.",0.219,0.781,0.0,-0.1027
"We must leave this terrifying place tomorrow and go searching for sunshine.""",0.358,0.642,0.0,-0.6783
Amory's penetrating green eyes would look out through tangled hair at his mother.,0.0,1.0,0.0,0.0
Even at this age he had no illusions about her.,0.196,0.804,0.0,-0.296
"""Amory.""",0.0,1.0,0.0,0.0
"""Oh, yes.""",0.0,1.0,0.0,0.0
"""I want you to take a redhot bath as hot as you can bear it, and just relax your nerves.",0.065,0.741,0.194,0.4215
"You can read in the tub if you wish.""",0.0,1.0,0.0,0.0
"She fed him sections of the ""Fetes Galantes"" before he was ten at eleven he could talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven.",0.0,1.0,0.0,0.0
"One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother's apricot cordial, and as the taste pleased him, he became quite tipsy.",0.067,0.836,0.097,0.2263
